trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
798,False,"{'a': 0.3, 'e': 0.01831548549245123}",20,2,14.52934770247222,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
799,False,"{'a': 0.3, 'e': 0.018223908064988973}",20,15,11.305667975319247,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.3, 'e': 0.018132788524664028}",30,7,38.87964542287029,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.3, 'e': 0.018042124582040707}",20,9,16.734368459015474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.3, 'e': 0.017951913959130504}",20,6,19.070156847066745,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.3, 'e': 0.01786215438933485}",20,13,12.26128960156343,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
804,False,"{'a': 0.3, 'e': 0.017772843617388175}",20,12,14.80681240770543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.3, 'e': 0.017683979399301233}",25,9,25.06715840914571,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.3, 'e': 0.017595559502304726}",20,16,9.381853754953031,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.3, 'e': 0.0175075817047932}",20,10,15.43739152922192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.3, 'e': 0.017420043796269234}",20,3,30.491255090977692,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.3, 'e': 0.017332943577287888}",20,8,8.226609016899705,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
810,False,"{'a': 0.3, 'e': 0.01724627885940145}",35,18,32.9884746703366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.3, 'e': 0.017160047465104442}",20,13,12.48540447896313,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.3, 'e': 0.01707424722777892}",30,18,21.13446108718574,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.3, 'e': 0.016988875991640028}",20,12,12.00564180261459,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.3, 'e': 0.016903931611681827}",25,12,23.067028521995958,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.3, 'e': 0.01681941195362342}",25,13,21.644929161712067,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.3, 'e': 0.016735314893855303}",30,9,42.74842069839472,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.3, 'e': 0.016651638319386028}",25,4,33.72717858887153,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.3, 'e': 0.0165683801277891}",20,10,15.817505066802028,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.3, 'e': 0.016485538227150154}",25,6,28.240228780575677,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.3, 'e': 0.0164031105360144}",25,14,22.87625774822368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.3, 'e': 0.01632109498333433}",20,16,6.690927377659267,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.3, 'e': 0.016239489508417658}",35,21,18.69525169974896,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.3, 'e': 0.01615829206087557}",25,11,28.18127079045925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.3, 'e': 0.01607750060057119}",20,13,12.644672509922515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
